Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
сапоги женские,368 832,,,,(ID) 99 - Сапоги Женские,508,508,508,508,508,
лак для ногтей,367 382,,,,(ID) 345 - Лак для ногтей,290,290,290,290,290,
спрей для волос,366 978,,,,(ID) 436 - Спрей,1202,1202,1202,1202,1202,
масло для волос,366 506,,,,(ID) 362 - Масло,0,0,0,0,0,
коврик для йоги,365 971,,,,(ID) 388 - Коврик Для Йоги,2003,2003,2003,2003,2003,
сарафан женский,365 080,,,,(ID) 70 - Сарафан Женский,680,680,680,680,680,
женская одежда,364 875
браслет,364 635,,,,(ID) 201 - Браслет,3814,3814,3814,3814,3814,
сабо женские,362 674,,,,(ID) 98 - Сабо Женские,600,600,600,600,600,
презервативы,359 983,,,,(ID) 2865 - Презервативы,1301,1301,1301,1301,1301,
косметика для макияжа,359 627,,,,(ID) 354 - Основа под макияж,100,100,100,100,100,
тинт,359 590,,,,(ID) 1918 - Тинт для губ,240,240,240,240,240,
платье женское вечернее,358 907,,,,(ID) 69 - Платье,895,895,895,895,895,
crocs женские,358 759
